Date,Portfolio name,Currency,Campaign Name,Bidding strategy,Placement,Impressions,Clicks,Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#)
"Oct 06, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,First page Top of Search on Amazon,262,3,$ 1.51,$ 4.52,$ 0.00,,0.00,0,0
"Oct 07, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,First page Top of Search on Amazon,261,3,$ 0.68,$ 2.05,$ 0.00,,0.00,0,0
"Oct 08, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,First page Top of Search on Amazon,282,1,$ 0.39,$ 0.39,$ 0.00,,0.00,0,0
"Oct 09, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,First page Top of Search on Amazon,244,3,$ 0.59,$ 1.77,$ 0.00,,0.00,0,0
"Oct 10, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,First page Top of Search on Amazon,333,4,$ 0.89,$ 3.56,$ 17.98,19.7998%,5.05,1,2
"Oct 11, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,First page Top of Search on Amazon,308,5,$ 0.48,$ 2.39,$ 69.99,3.4148%,29.28,1,1
"Oct 12, 2019",Desserts,USD,Desserts,Dynamic bids - up and down,First page Top of Search on Amazon,263,1,$ 1.52,$ 1.52,$ 0.00,,0.00,0,0
"Oct 06, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,First page Top of Search on Amazon,29,0,,$ 0.00,$ 0.00,,,0,0
"Oct 07, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,First page Top of Search on Amazon,33,1,$ 0.45,$ 0.45,$ 0.00,,0.00,0,0
"Oct 08, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,First page Top of Search on Amazon,32,2,$ 0.79,$ 1.58,$ 0.00,,0.00,0,0
"Oct 09, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,First page Top of Search on Amazon,26,1,$ 0.11,$ 0.11,$ 0.00,,0.00,0,0
"Oct 10, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,First page Top of Search on Amazon,28,1,$ 0.47,$ 0.47,$ 0.00,,0.00,0,0
"Oct 11, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,First page Top of Search on Amazon,24,0,,$ 0.00,$ 0.00,,,0,0
"Oct 12, 2019",Desserts,USD,Desserts_Royal_Cheesecake,Dynamic bids - up and down,First page Top of Search on Amazon,14,1,$ 0.23,$ 0.23,$ 0.00,,0.00,0,0
